/r/HasContext grammar
/r/IsA deictic
/r/IsA part_of_speech
/r/IsA closed_class_word
/r/IsA noun
/r/IsA part_of_speech
/r/IsA pro_form
/r/IsA function_word
/r/RelatedTo grammar
/r/RelatedTo grammar_term
/r/RelatedTo he_she
/r/RelatedTo his
/r/RelatedTo his_her
/r/RelatedTo language
/r/RelatedTo language_term
/r/RelatedTo me_you
/r/RelatedTo part
/r/RelatedTo speech
/r/RelatedTo speech_part
/r/RelatedTo term
/r/RelatedTo adjective
/r/RelatedTo anaphora
/r/RelatedTo determiner
/r/RelatedTo noun
/r/RelatedTo noun_phrase
/r/RelatedTo pronominal
/r/Synonym pronoun
/r/UsedFor refer_to_noun
==========
an /r/RelatedTo
as /r/RelatedTo
wegotism /r/RelatedTo
singular_pronoun /r/IsA
exclusive /r/RelatedTo
reflexive_pronoun /r/IsA
reflexive_pronoun /r/IsA
royal_we /r/RelatedTo
ethical_dative /r/RelatedTo
substantival_pronoun /r/IsA
prepronominal /r/RelatedTo
noun_phrase /r/RelatedTo
each /r/RelatedTo
name /r/RelatedTo
anaphoric_pronoun /r/IsA
pronumeral /r/EtymologicallyDerivedFrom
pronomial /r/RelatedTo
relative_future_tense /r/RelatedTo
perpendicular_pronoun /r/RelatedTo
object_pronoun /r/IsA
misdemean /r/RelatedTo
pronouns /r/FormOf
pronouns /r/FormOf
pronouns /r/RelatedTo
pronoun /r/Synonym
v_form /r/RelatedTo
grammatical_person /r/RelatedTo
she /r/RelatedTo
plural_pronoun /r/IsA
me /r/RelatedTo
my /r/RelatedTo
relative_pronoun /r/IsA
relative_pronoun /r/IsA
editorial_we /r/RelatedTo
pronominally /r/RelatedTo
cataphora /r/RelatedTo
expletive_pronoun /r/IsA
majestic_plural /r/RelatedTo
have /r/RelatedTo
accusativeness /r/RelatedTo
tutoy /r/RelatedTo
a /r/HasContext
logophor /r/RelatedTo
at /r/RelatedTo
prolative_case /r/RelatedTo
one /r/HasContext
pro_sumti /r/RelatedTo
it /r/RelatedTo
r_expression /r/RelatedTo
her /r/RelatedTo
ye /r/RelatedTo
resumptive_pronoun /r/RelatedTo
you /r/RelatedTo
you /r/RelatedTo
antecedent /r/RelatedTo
pronominalize /r/RelatedTo
demonstrative_pronoun /r/IsA
demonstrative_pronoun /r/IsA
demonstrative_pronoun /r/IsA
number_speech_part /r/IsA
noun /r/RelatedTo
determiner /r/RelatedTo
he /r/RelatedTo
t_v_distinction /r/RelatedTo
its /r/RelatedTo
objective_case /r/RelatedTo
march /r/RelatedTo
declension /r/RelatedTo
pronominal /r/RelatedTo
pronominal /r/RelatedTo
we /r/RelatedTo
how /r/RelatedTo
play_pronoun_game /r/RelatedTo
function_word /r/RelatedTo
i /r/RelatedTo
pro /r/EtymologicallyRelatedTo
dual_pronoun /r/IsA
adverb /r/Antonym
prodrop /r/EtymologicallyRelatedTo
prodrop /r/RelatedTo
clusivity /r/RelatedTo
inclusive /r/RelatedTo
pro_drop_language /r/EtymologicallyRelatedTo
pro_drop_language /r/RelatedTo
personal_pronoun /r/IsA
personal_pronoun /r/IsA
personal_pronoun /r/IsA
personal_pronoun /r/RelatedTo
his /r/RelatedTo
parelcon /r/RelatedTo
impersonal_subject /r/RelatedTo
pro_sentence /r/SimilarTo
exceptional_case_marking /r/RelatedTo
objective /r/RelatedTo
pronounal /r/DerivedFrom
pronominal_verb /r/RelatedTo
him /r/RelatedTo
indefinite_pronoun /r/IsA
indefinite_pronoun /r/IsA
possessive_pronoun /r/IsA
possessive_pronoun /r/IsA
possessive_pronoun /r/IsA
subject_pronoun /r/IsA
distributive /r/RelatedTo
nota_augens /r/RelatedTo
mine /r/RelatedTo
interrogative_pronoun /r/IsA
interrogative_pronoun /r/RelatedTo
reciprocal_pronoun /r/IsA
reciprocal_pronoun /r/IsA
reciprocal_pronoun /r/IsA
wh_pronoun /r/IsA
himself /r/RelatedTo
adjectival_pronoun /r/IsA
adjectival_pronoun /r/RelatedTo
t_form /r/RelatedTo
compound_imperative /r/RelatedTo
preposition /r/DistinctFrom
preposition /r/RelatedTo
